テストケースID,テスト対象（画面）,テスト対象 (機能),テスト観点 ,確認内容 ,テスト前提,テスト手順,期待値,優先順位,関連TCND,関連RQ,備考
TC-042,ログイン画面,認証管理,認証チェック：未ログインアクセス,未ログインでチケット一覧にアクセスできない,未ログイン; 対象URL:一覧,ブラウザで一覧URLを開く,ログイン画面へ誘導される（または403など）,P1,TCND-029,RQ-001,
TC-043,ログイン画面,認証管理,認証チェック：未ログインアクセス,未ログインでチケット詳細に直接アクセスできない,未ログイン; 対象URL:詳細,チケット詳細URLを直接開く,ログイン画面へ誘導される（または403など）,P1,TCND-029,RQ-001,
TC-044,ログイン画面,認証管理,認証チェック：未ログインアクセス,未ログインでチケット作成にアクセスできない,未ログイン; 対象URL:作成,チケット作成URLを開く,ログイン画面へ誘導される（または403など）,P1,TCND-029,RQ-001,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
テストケースID,関連TCND,関連RQ,,,,,,,,,
TC-001,TCND-001,RQ-015,,,,,,,,,
TC-002,TCND-002,RQ-015,,,,,,,,,
TC-003,TCND-002,RQ-015,,,,,,,,,
TC-004,TCND-003,RQ-026,,,,,,,,,
TC-005,TCND-003,RQ-026,,,,,,,,,
TC-006,TCND-036,RQ-020,,,,,,,,,
TC-007,TCND-040,RQ-029,,,,,,,,,
TC-008,TCND-041,RQ-034,,,,,,,,,
TC-009,TCND-005,RQ-007;RQ-033,,,,,,,,,
TC-010,TCND-005,RQ-030,,,,,,,,,
TC-011,TCND-004,RQ-016,,,,,,,,,
TC-012,TCND-020,RQ-015,,,,,,,,,
TC-013,TCND-035,RQ-017,,,,,,,,,
TC-014,TCND-037,RQ-022,,,,,,,,,
TC-015,TCND-024,RQ-021;RQ-023,,,,,,,,,
TC-016,TCND-033,RQ-013,,,,,,,,,
TC-017,TCND-033,RQ-013,,,,,,,,,
TC-018,TCND-030;TCND-043,RQ-002;RQ-025;RQ-042,,,,,,,,,
TC-019,TCND-010,RQ-035,,,,,,,,,
TC-020,TCND-010,RQ-035;RQ-040,,,,,,,,,
TC-021,TCND-006,RQ-035;RQ-036,,,,,,,,,
TC-022,TCND-007,RQ-035;RQ-037,,,,,,,,,
TC-023,TCND-008,RQ-035;RQ-038,,,,,,,,,
TC-024,TCND-010,RQ-035,,,,,,,,,
TC-025,TCND-007,RQ-035;RQ-037,,,,,,,,,
TC-026,TCND-010,RQ-035,,,,,,,,,
TC-027,TCND-009,RQ-035;RQ-039,,,,,,,,,
TC-028,TCND-010,RQ-035;RQ-041,,,,,,,,,
TC-029,TCND-010,RQ-035,,,,,,,,,
TC-030,TCND-006,RQ-035;RQ-036,,,,,,,,,
TC-031,TCND-010,RQ-035,,,,,,,,,
TC-032,TCND-013,RQ-003;RQ-004;RQ-005;RQ-012,,,,,,,,,
TC-033,TCND-014,RQ-003,,,,,,,,,
TC-034,TCND-015,RQ-003,,,,,,,,,
TC-035,TCND-015,RQ-003,,,,,,,,,
TC-036,TCND-017,RQ-006,,,,,,,,,
TC-037,TCND-032,RQ-011,,,,,,,,,
TC-038,TCND-018,RQ-008;RQ-010,,,,,,,,,
TC-039,TCND-019,RQ-009,,,,,,,,,
TC-040,TCND-021,RQ-018,,,,,,,,,
TC-041,TCND-022,RQ-019,,,,,,,,,
TC-042,TCND-029,RQ-001,,,,,,,,,
TC-043,TCND-029,RQ-001,,,,,,,,,
TC-044,TCND-029,RQ-001,,,,,,,,,
